Date,Wordle.Puzzle,Wordle.Answer,guess.1,guess.2,guess.3,guess.4,guess.5,guess.6,guess.x,Average.guess,ScrabbleScore,CV_Ratio,UniqueLetters,Positional_Score,Bigram,Trigram
"April 23, 2022",308,OLIVE,1,6,25,34,23,10,1,4.06,8,1.5,5,0.7,0,0
"April 19, 2022",304,FOYER,0,2,10,19,19,24,26,5.31,11,0.666666667,5,0.15,1,0
"April 16, 2022",301,CHEEK,0,3,19,40,28,9,1,4.24,14,0.666666667,4,0.3,1,0
"April 15, 2022",300,SHAME,1,11,22,25,21,15,5,4.19,10,0.666666667,5,1.15,0,1
"April 11, 2022",296,SQUAD,0,3,20,33,27,15,2,4.37,15,0.666666667,5,0.4,0,0
"April 08, 2022",293,SCARE,1,12,23,26,21,13,4,4.09,7,0.666666667,5,1.3,1,0
"April 05, 2022",290,NATAL,0,2,14,32,32,17,3,4.57,5,0.666666667,4,0.25,1,0
"April 04, 2022",289,SHAWL,0,3,16,31,31,16,3,4.5,11,0.25,5,0.65,0,1
"April 01, 2022",286,SNOUT,1,4,19,27,26,18,5,4.47,5,0.666666667,5,0.45,0,1
"March 31, 2022",285,LOWLY,0,2,9,26,31,24,8,4.9,11,0.25,4,0.15,0,0
"March 30, 2022",284,STOVE,0,5,16,24,27,22,6,4.63,8,0.666666667,5,0.85,1,1
"March 29, 2022",283,SHALL,0,3,27,20,28,18,4,4.43,8,0.25,4,0.7,1,1
"March 28, 2022",282,FOUND,0,6,17,22,20,21,14,4.75,9,0.666666667,5,0.15,0,0
"March 27, 2022",281,NYMPH,0,2,18,44,26,9,1,4.25,15,0,5,0,0,0
"March 26, 2022",280,EPOXY,0,2,13,31,33,18,3,4.61,17,0.666666667,5,0.05,0,0
"March 24, 2022",278,CHEST,0,14,35,31,14,5,1,3.64,10,0.25,5,0.65,1,0
"March 22, 2022",276,SLOSH,0,2,19,36,27,14,2,4.38,8,0.25,4,0.55,0,0
"March 21, 2022",275,THEIR,2,14,36,30,13,5,0,3.53,8,0.666666667,5,0.4,0,0
"March 20, 2022",274,RENEW,4,10,20,24,27,13,2,4.07,8,0.666666667,4,0.3,1,0
"March 19, 2022",273,ALLOW,0,5,20,32,26,14,3,4.33,8,0.666666667,4,0.35,1,0
"March 18, 2022",272,SAUTE,1,8,31,34,19,6,1,3.84,5,1.5,5,0.95,1,0
"March 17, 2022",271,MOVIE,1,6,18,30,26,16,3,4.34,10,1.5,5,0.65,0,0
"March 16, 2022",270,CATER,0,7,19,22,19,18,15,4.67,7,0.666666667,5,0.25,1,1
"March 15, 2022",269,TEASE,1,16,30,30,16,6,1,3.66,5,1.5,4,1.5,1,0
"March 14, 2022",268,SMELT,1,6,32,38,16,6,1,3.84,7,0.25,5,0.6,0,0
"March 13, 2022",267,FOCUS,1,4,23,36,24,11,1,4.15,10,0.666666667,5,0.1,0,0
"March 12, 2022",266,TODAY,1,7,29,35,20,7,1,3.91,9,0.666666667,5,0.4,0,0
"March 11, 2022",265,WATCH,1,6,14,18,17,24,20,4.96,13,0.25,5,0.15,1,0
"March 10, 2022",264,LAPSE,0,8,31,34,19,7,1,3.89,7,0.666666667,5,0.9,1,0
"March 09, 2022",263,MONTH,1,5,26,37,22,8,1,4.02,10,0.25,5,0.15,0,0
"March 08, 2022",262,SWEET,1,5,18,31,28,15,2,4.33,8,0.666666667,4,0.65,0,0
"March 07, 2022",261,HOARD,0,9,30,34,19,7,1,3.88,9,0.666666667,5,0.75,1,0
"March 06, 2022",260,CLOTH,1,8,33,33,17,7,1,3.82,10,0.25,5,0.25,0,0
"March 05, 2022",259,BRINE,0,9,25,29,22,12,3,4.12,7,0.666666667,5,1.1,1,1
"March 04, 2022",258,AHEAD,0,5,20,35,26,12,2,4.26,9,1.5,4,0.55,1,0
"March 03, 2022",257,MOURN,1,8,29,34,19,8,1,3.9,7,0.666666667,5,0.3,0,0
"March 02, 2022",256,NASTY,1,7,26,31,21,12,2,4.08,8,0.25,5,0.25,1,1
"March 01, 2022",255,RUPEE,1,2,17,35,30,13,2,4.38,7,1.5,4,0.7,0,0
"February 28, 2022",254,CHOKE,1,8,30,36,18,6,1,3.84,14,0.666666667,5,0.6,1,0
"February 27, 2022",253,CHANT,0,9,32,33,18,7,1,3.85,10,0.25,5,0.75,1,0
"February 26, 2022",252,SPILL,1,5,24,34,24,10,2,4.13,7,0.25,4,0.4,0,0
"February 25, 2022",251,VIVID,1,2,10,29,33,21,4,4.7,12,0.666666667,3,0.15,0,0
"February 24, 2022",250,BLOKE,1,6,21,32,25,13,2,4.21,11,0.666666667,5,0.6,0,0
